Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Time_slot,Drop_timestamp,Hour_of_day,weekday
619,Airport,1,Trip Completed,11-07-2016 11:51,Day,11-07-2016 13:00,11,Monday
867,Airport,1,Trip Completed,11-07-2016 17:57,Night,11-07-2016 18:47,17,Monday
1807,City,1,Trip Completed,12-07-2016 09:17,Day,12-07-2016 09:58,9,Tuesday
2532,Airport,1,Trip Completed,12-07-2016 21:08,Night,12-07-2016 22:03,21,Tuesday
3112,City,1,Trip Completed,13-07-2016 08:33,Day,13-07-2016 09:25,8,Wednesday
3879,Airport,1,Trip Completed,13-07-2016 21:57,Night,13-07-2016 22:28,21,Wednesday
4270,Airport,1,Trip Completed,14-07-2016 06:15,Morning,14-07-2016 07:13,6,Thursday
5510,Airport,1,Trip Completed,15-07-2016 05:11,Morning,15-07-2016 06:07,5,Friday
6248,City,1,Trip Completed,15-07-2016 17:57,Night,15-07-2016 18:50,17,Friday
267,City,2,Trip Completed,11-07-2016 06:46,Morning,11-07-2016 07:25,6,Monday
1467,Airport,2,Trip Completed,12-07-2016 05:08,Morning,12-07-2016 06:02,5,Tuesday
1983,City,2,Trip Completed,12-07-2016 12:30,Evening,12-07-2016 12:57,12,Tuesday
2784,Airport,2,Trip Completed,13-07-2016 04:49,Morning,13-07-2016 05:23,4,Wednesday
3075,City,2,Trip Completed,13-07-2016 08:02,Day,13-07-2016 09:16,8,Wednesday
3379,City,2,Trip Completed,13-07-2016 14:23,Evening,13-07-2016 15:35,14,Wednesday
3482,Airport,2,Trip Completed,13-07-2016 17:23,Night,13-07-2016 18:20,17,Wednesday
4652,City,2,Trip Completed,14-07-2016 12:01,Evening,14-07-2016 12:36,12,Thursday
5335,Airport,2,Trip Completed,14-07-2016 22:24,Night,14-07-2016 23:18,22,Thursday
535,Airport,3,Trip Completed,11-07-2016 10:00,Day,11-07-2016 10:31,10,Monday
960,Airport,3,Trip Completed,11-07-2016 18:45,Night,11-07-2016 19:23,18,Monday
1934,Airport,3,Trip Completed,12-07-2016 11:17,Day,12-07-2016 12:23,11,Tuesday
2083,Airport,3,Trip Completed,12-07-2016 15:46,Evening,12-07-2016 16:40,15,Tuesday
2211,Airport,3,Trip Completed,12-07-2016 18:00,Night,12-07-2016 18:28,18,Tuesday
